S No,Symptoms
2176,Central vision is also lost ultimately after many years.
2177,"centre may involute, leaving a white atrophic scar,  or the whole lesion may form a massive, infiltrated, papillomatous  excrescence"
2178,Centrifugal lipodystrophy
2179,centrocaecal scotomas
2180,Centronuclear myopathy
2181,Cercarial Dermatitis (“Swimmer’s Itch”)
2182,Cercarial dermatitis dermatology
2183,Cerebellar dysfunction
2184,cerebellar liponeurocytoma (who grade 2)
2185,cerebellar syndrome
2186,CEREBRAL AMYLOID ANGIOPATHY
2187,Cerebral ataxia with dysarthria and nystagmus
2188,Cerebral atrophy
2189,Cerebral blindness
2190,cerebral cortical malformations
2191,Cerebral disturbances
2192,cerebral haemorrhage
2193,cerebral infraction
2194,cerebral ischaemia
2195,cerebral malaria
2196,CEREBRAL MASS
2197,Cerebral oedema
2198,cerebral palsy
2199,Cerebral palsy with congenital cartaract
2200,Cerebral palsy with feeding difficulty
2201,Cerebral palsy with Hearing loss
2202,cerebral palsy(Brain)
2203,Cerebral thrombosis
2204,cerebral vascular disease
2205,Cerebral vasospasm
2206,Cerebral venous thrombosis
2207,Cerebrospinal disease
2208,Cerebrotendinous xanthomatosis
2209,Cerebrotendinous Xanthomatosis
2210,Cerebrovascular accident
2211,cerebrovascular disorders
2212,cerebrovascular events
2213,Cerebrovascular haemorrhage
2214,cerumen impaction
2215,CERUMINOMA
2216,cervical adenitis
2217,Cervical block
2218,CERVICAL DYSTOCIA
2219,CERVICAL EROSION
2220,CERVICAL FUNGATING GROWTH
2221,CERVICAL INCOMPETENCE
2222,cervical intraepithelial neoplasia.
2223,cervical kyphosis
2224,Cervical lesion
2225,cervical lymph node hypertrophy
2226,Cervical lymph node metastasis
2227,cervical lymphadenitis
2228,cervical lymphadenopathy
2229,cervical pain
2230,CERVICAL POLYP
2231,CERVICAL RIB AND THORACIC OUTLET SYNDROME 
2232,CERVICAL SPONDYLOSIS
2233,cervical tenderness
2234,cervical tumours
2235,Cervical ulceration
2236,Cervicitis
2237,cervico thoracic scoliosis
2238,cessation of mencess
2239,Cestode disease
2240,CHAGAS DISEASE (AMERICAN TRYPANOSOMIASIS)
2241,CHALAZION
2242,chalky taste
2243,chancre
2244,Chancriform pyoderma
2245,Chancroid
2246,chancroid
2247,Chandler’s syndrome
2248,Change in eye colour
2249,change in facial expression
2250,change in heart rate
2251,CHANGE IN PERSONALITY
2252,change in posture
2253,change in shape and colour of mole
2254,"Change in shape, thickness or curvature of cornea"
2255,Change in sleep patterns
2256,change in vision
2257,Changes in  liver enzyme values
2258,changes in appetite
2259,Changes in blood concentrations of triglycerides and cholesterol
2260,Changes in blood sugar concentration
2261,changes in body weight
2262,Changes in bowel flora
2263,Changes in cervix
2264,Changes in depth and shape of anterior chamber
2265,Changes in hair colour
2266,Changes in hair colour or texture
2267,Changes in heart rate
2268,Changes in libido
2269,Changes in lipid impairment
2270,changes in liver- function tests
2271,Changes in nail pigmentation
2272,changes in salivation
2273,Changes in scalp
2274,Changes in scalp and body hair
2275,Changes in serum lipid profile
2276,changes in skin pigmentation
2277,Changes in the angle of anterior chamber
2278,Changes in the vagina
2279,Changes in thyroid function
2280,Chapped lips
2281,characteristic facies
2282,"Characteristic lesions are circular, usually sharply marginated  with a raised edge"
2283,"Characteristic lesions are solitary or grouped erythematous to violaceous macules, papules, nodules or vesicles."
2284,characteristic orange peel appearance and texture due to prominent hair follicles.
2285,"Characteristically, the dorsa of the hands, palms, wrists, feet and extensor aspects of the elbows and knees are affected; less commonly the face"
2286,characterized by erythematous macules and indurated papules or plaque-like lesions with a reticular configuration and lack of scale or other surface changes in the midline of the chest or back.
2287,characterized by firm non-pitting oedema and  induration that typically begin on the posterior neck and  spread to the upper back shoulders and scalp
2288,"characterized by papules, plaques and nodules  located at the junction between the palmar and dorsal skin of the  hands or feet along the thenar and hypothenar eminences"
2289,"characterized by polymorphic patches  and plaques usually involving limb/girdle sites, the breast and  especially the buttock area"
2290,Charcoal embolism
2291,chediak higashi syndrome
2292,cheek pain
2293,"cheeks and forehead are most commonly affected. Although rare, lower parts of  the face and chin, neck, chest, abdomen and back may all be affected."
2294,cheilitis
2295,cheilosis
2296,Chemical burns
2297,chemical exposures
2298,chemical eye burns
2299,CHEMICAL INJURIES TO EYE
2300,chemical pneumonitis
2301,Chemosis (swelling of conjunctiva)
2302,Chemosis of conjunctiva
2303,chemotherapy agents
2304,Cherry angiomas
2305,cherry red spot
2306,Cherry-red spot is seen in the center of macula
2307,chest abnormal breath sound
2308,chest bleeding
2309,chest bruise
2310,chest circumference abnormal
2311,chest deformity
2312,chest discolouration
2313,chest discomfort
2314,CHEST DISCOMFORT AT REST
2315,chest fasciculation
2316,chest heaviness
2317,chest indrawing
2318,chest infection
2319,chest injury
2320,Chest is broad shield-like
2321,chest itching
2322,chest lump
2323,chest mastalgia
2324,chest muscle cramps
2325,chest numbness
2326,chest pain
2327,chest pain during deglutitation
2328,chest pain on deep inspiration
2329,chest pain with dizziness
2330,chest pale skin
2331,chest palpitation
2332,chest problem
2333,chest rashes
2334,chest redness
2335,Chest retractions
2336,chest stiffness
2337,chest swelling
2338,chest tenderness
2339,chest throbbing
2340,chest tightness
2341,CHEST TRAUMA
2342,chest ulcer
2343,Chest wall hamartoma
2344,chewing movements
2345,cheyne stroke breathing
2346,cheyne-stokes respiration
2347,Chiari type 1 malformation
2348,chickenpox
2349,Chikungunya
2350,Chilblain lesions
2351,child may pass adult worms in the vomitus  or feces.
2352,childbirth
2353,Childhood absence epilepsy
2354,childhood rhabdomyosarcoma
2355,Childhood rheumatic diseases
2356,Children
2357,Children are born as collodion babies involving the entire skin.
2358,children assume a squatting position for the relief of dyspnea caused by physical effort
2359,Children can be born as collodion babies
2360,"Children may have seizure disorder, intellectual disability and motor delay"
2361,"Children often fi nd partial relief with cold water and wet cloths, and this feature may be diagnostically useful."
2362,chills
2363,chin pain
2364,Chlamydial Infections
2365,Chloasma
2366,chloasma (melasma)
2367,CHLORINE POISONING
2368,Chloromas
2369,choanal atresia
2370,chocking
2371,CHOCOLATE CYST
2372,choking
2373,choking spells at night.
2374,choking spells during nursing
2375,CHOLANGIOCARCINOMA
2376,cholangitis
2377,cholecystitis
2378,CHOLEDOCHAL CYST
2379,CHOLELITHIASIS
2380,CHOLERA
2381,Cholestasis
2382,cholestasis hepatitis
2383,cholestatic conditions
2384,cholestatic hepatitis
2385,cholestatic jaundice
2386,cholestatic jaundice syndrome
2387,Cholestatic liver disease
2388,cholestatic liver injury
2389,CHOLESTEATOMA
2390,cholesterol concentrations may also be increased
2391,Cholesterol embolus
2392,cholesterol granuloma
2393,Cholinergic crisis
2394,Cholinergic stimulation
2395,Chondroblastoma
2396,chondroid lipoma
2397,Chondrolysis of articular cartilage
2398,"Chondroma:  Enchondroma, Periosteal chondroma, Mul"
2399,Chondromyxoid fibroma
2400,"Chondrosarcoma: Central, primary, and secondary, P"
2401,chonic lithium usage
2402,Chordoma
2403,Chorea
2404,choreic hand
2405,CHOREIFORM MOVEMENTS
2406,choreoathetoid movements
2407,Choreoathetosis
2408,CHORIOAMNIOTIS
2409,Choriocarcinoma
2410,Choriocarcinoma and teratoma/embryonal carcinoma
2411,CHORIORETINITIS
2412,choroid glioma of the third ventricle (who grade 2
2413,choroid plexus carcinoma (who grade 3)
2414,choroid plexus papilloma (who grade 1)
2415,choroidal depigmentation (sunset glow fundus)
2416,Choroidal granuloma
2417,Choroidal haemorrhage
2418,Choroidal neovascularization
2419,choroidal sclerosis
2420,Choroiditis
2421,chromatopsia
2422,chromaturia
2423,Chromhidrosis
2424,Chromoblastomycosis
2425,Chromomycosis
2426,Chromophobe renal cell carcinoma
2427,Chronic  Bronchitis
2428,chronic actinic dermatitis
2429,Chronic active Epstein–Barr virus infection
2430,Chronic alcoholism
2431,Chronic and Recurrent Meningitis
2432,CHRONIC ANKLE SPRAIN
2433,Chronic asthma
2434,CHRONIC BACTERIAL CONJUNCTIVITIS
2435,CHRONIC BACTERIAL PROSTATITIS
2436,chronic bilirubin encephalopathy
2437,Chronic bradyarrhythmias
2438,chronic bronchitis
2439,chronic bronchospasm
2440,Chronic burkholderia cepacia
2441,CHRONIC CERVICITIS
2442,chronic constrictive pericarditis
2443,chronic copper poisoning
2444,chronic cough
2445,Chronic cutaneous lupus erythematosus
2446,chronic dacryocystitis
2447,CHRONIC DIARRHEA
2448,Chronic Discoid Lupus Erythematosus.
2449,Chronic Eosinophilic Pneumonia
2450,chronic fatigue secondary to anemia
2451,Chronic fatigue syndrome
2452,Chronic Gingivitis
2453,Chronic graft-versus-host disease
2454,Chronic graft-versus-host disease
2455,chronic granulomatous disease
2456,chronic heart failure
2457,chronic hepatitis C
2458,CHRONIC HYPERTROPHIC LARYNGITIS
2459,Chronic Ideopathic Urticaria
2460,Chronic impairment of lung functions
2461,chronic infection
2462,CHRONIC INFLAMMATORY ABSCESS
2463,Chronic inflammatory demyelinating polyneuropathy
2464,chronic inflammatory disease of the ear
2465,chronic inflammatory disease of the ear canal
2466,Chronic interstitial nephritis
2467,Chronic intractable headache (Rebound headache)
2468,Chronic iridocyclitis
2469,chronic iron overload
2470,chronic kidney disease
2471,CHRONIC LARYNGITIS WITHOUT HYPERPLASIA
2472,chronic liver disease
2473,chronic lymphedema
2474,chronic lymphocytic leukaemia
2475,CHRONIC LYMPHOCYTIC(AUTOIMMUNE) THYROIDITIS
2476,CHRONIC LYMPHOID LEUKEMIA (CLL)
2477,Chronic mucocutaneous candidosis
2478,chronic myeloid leukaemia
2479,CHRONIC MYELOID LEUKEMIA
2480,CHRONIC NASOPHARYNGITIS
2481,chronic neurological disease
2482,Chronic Obstructive Pulmonary Disease
2483,Chronic occlusive peripheral arterial disease
2484,Chronic ordinary urticaria
2485,CHRONIC OSTEOMYELITIS
2486,CHRONIC OTITIS MEDIA
2487,CHRONIC PAIN
2488,Chronic Pancreatitis
2489,Chronic paronychia
2490,CHRONIC PELVIC PAIN
2491,CHRONIC PERICARDITIS
2492,Chronic Periodontitis
2493,chronic pharyngitis
2494,CHRONIC PID
2495,CHRONIC PLEURAL EFFUSIONS
2496,chronic poisoning
2497,chronic psychoses
2498,chronic pulmonary aspergillosis
2499,Chronic Pulpitis
2500,CHRONIC PYELONEPHRITIS
2501,CHRONIC RECURRENT SIALDENITIS
2502,Chronic renal disease
2503,Chronic renal failure
2504,Chronic renal impairment
2505,CHRONIC RETROPHARYNGEAL ABSCESS
2506,CHRONIC RHINITIS
2507,chronic rhinosinusitis
2508,CHRONIC RHINOSINUSITIS without polyposis
2509,chronic salicylate intoxication
2510,Chronic scalp pain
2511,Chronic Sinusitis
2512,chronic spasticity associated with a variety of conditions
2513,chronic spasticity of spinal or cerebral origin
2514,Chronic stable angina
2515,Chronic superficial scaly dermatitis
2516,chronic suppression of toxoplasmosis
2517,chronic suppurative otitis media
2518,CHRONIC SUPPURATIVE OTITIS MEDIA(ATTICO ANTRAL)
2519,Chronic tachyarrhythmias
2520,Chronic thyroiditis(Riedels)
2521,chronic tonsillitis
2522,CHRONIC TUBULOINTERSTITIAL NEPHRITIS
2523,CHRONIC VALVULAR HEART DISEASE
2524,CHRONIC VENOUS DISEASE
2525,Chronic venous insufficiency
2526,Chronic venous insufficiency
2527,CHRONIC VIRAL HEPATITIS
2528,Chronic volume overload
2529,Chronically swollen leg
2530,Churg-Strauss Syndrome
2531,chvostek sign
2532,chylothorax
2533,CHYLURIA
2534,Cilia are usually matted together with yellow crusts
2535,CILIARY BLOCK GLAUCOMA
2536,Ciliary body shut down
2537,ciliary congestion
2538,Ciliary Spasm
2539,Cinchonism
2540,"circular sharply defined  hyperpigmented patches of dry skin with ichthyosiform scaling,  usually 2–3  cm in diameter but sometimes much larger, up to  14  cm"
2541,circulatory collapse
2542,circulatory disorder
2543,circulatory failure
2544,Circulatory failure due to shock
2545,circulatory overload
2546,Circumcorneal congestion
2547,Circumoral paraesthesia
2548,circumpapillary telangiectatic microangiopathy
2549,Circumscribed Labyrinthitis
2550,circumscribed lymphangioma.
2551,Circumscribed palmoplantar hypokeratosis
2552,circumscribed vesicular patches
2553,"circumscribed, flat or slightly raised macules or papules, occurring  most commonly on the bulbar conjunctiva"
2554,CIRRHOSIS
2555,Cirrhotic cardiomyopathy
2556,Cirsoid aneurysm
2557,Citrullinaemia type1
2558,Citrullinemia type I (CTLN1)
2559,CK syndrome (CKS)
2560,CK syndrome (CKS)()
2561,CKD
2562,Clarification of beverages
2563,"classical small shiny papules and plaques with  Wickham's striae, as in idiopathic LP"
2564,"Classically, when the central arteriole is compressed, the skin blanches and the lesion temporarily vanishes but rapidly returns when the pressure is released"
2565,claudication
2566,CLAVICLE FRACTURE
2567,Clavicular or Higoumenakia sign
2568,claw like hands
2569,clay coloured stool
2570,Clear cell acanthoma
2571,clear cell adenocarcinoma
2572,Clear cell renal cell carcinoma
2573,Clear cell sarcoma
2574,Clear cell sarcoma of soft tissue
2575,Cleft Lip
2576,Cleft Lip with Cleft Palale
2577,cleft palate
2578,CLEIDOCRANIAL DYSPLASIA
2579,clentching of teeth
2580,Clinically atypical naevi
2581,"Clinically, atypical naevi are larger than 5 mm with irregular borders and pigmentation."
2582,"Clinically, these lesions are often hyperpigmented and larger in  size compared with common acquired naevi."
2583,clinodactyly
2584,Clitoromegaly
2585,clonic movements of the hands
2586,CLONORCHIASIS
2587,"Closely grouped red papules,  rapidly becoming vesicular and then pustular, develop in a continuous or interrupted band in the area of one, occasionally two  and, rarely, more contiguous dermatomes"
2588,Clostridium difficile diarrhea
2589,Clostridium difficile infection
2590,Closure of the epiphyses and stop linear growth
2591,Club foot
2592,clubbing
2593,CLUMSINESS
2594,cluster headache
2595,cluster of comedones
2596,Clutton’s joints
2597,CML
2598,CMV disease
2599,CN PARESIS
2600,CNS abnormalities
2601,CNS depression
2602,CNS depression with weakness
2603,CNS disturbances
2604,CNS excitement
2605,CNS haemorrhage
2606,CNS infection
2607,CNS manifestation
2608,cns primitive neuroectodermal tumour (pnet) (who g
2609,CNS stimulation
2610,CNS stimulation with vomiting
2611,CNS toxicity
2612,CNS-hypotonia
2613,Coagulase-negative staphylococci
2614,Coagulation defects
2615,Coagulation disorders
2616,coagulation may be affected
2617,Coagulopathy
2618,Coagulopathy Iatrogenic
2619,COARCTATION OF AORTA
2620,coarse facial features
2621,"coarse punctate epithelial lesions (snow flake) circular, oval or stellate in shape, slightly elevated and situated in the central part (pupillary area) of cornea"
2622,coated tongue
2623,coats disease
2624,Coccidioidomycosis
2625,Cockayne syndrome
2626,Coenzyme Q10 deficiency
2627,Coenzyme Q10 deficiency()
2628,COG WHEEL RIGIDITY
2629,Cogan-Reese syndrome
2630,Cognitive behavior therapy (CBT)
2631,cognitive decline
2632,cognitive impairment
2633,Coital difficulties
2634,cola coloured urine
2635,Cold
2636,cold clammy skin
2637,cold exposure
2638,cold extremities
2639,cold intolerance
2640,Cold panniculitis
2641,coldness of the extremities
2642,Coldness of the skin
2643,Cole disease
2644,Colic
2645,colitis
2646,COLLAGEN DISEASE
2647,Collagen vascular disease
2648,Collagen vascular disorders
2649,collapse
2650,collapsing pulse
2651,collection of dirty-white foamy discharge at the angles
2652,COLLES' FRACTURE
2653,Collodion baby
2654,colloid  milium
2655,colloid bodies
2656,Coloboma of the Lid
2657,colon cancer
2658,COLONIC DIVERTICULA
2659,colonic stricture
2660,color of urine
2661,Color the saliva or sputum red
2662,colorectal cancer
2663,Colour Blindness
2664,"colour is purplish, red or brown"
2665,colour vision disorders
2666,Coloured halos
2667,Coloured sweat
2668,coma
2669,comatose patients
2670,combination of systolic and diastolic murmurs is the Duroziez sign
2671,Combined deficiency of 5 K-dependent clotting fact
2672,Combined deficiency of 5 K-dependent clotting factors (VKCFD)
2673,combined hepatocellular and cholangiocarcinoma
2674,Combined naevus
2675,"Comedo naevus (synonyms: naevus comedonicus, naevus  follicularis, naevus unilateralis comedonicus)"
2676,comedonal acne
2677,Common adverse effects:
2678,Common adverse effects: tinnitus
2679,Common Cold
2680,common variable immuno deficiency
2681,"Common warts around the nails, especially at the nail folds or  beneath the nail, can disturb nail growth."
2682,"commonest local infection in infancy is periumbilical, with  a foul-smelling bluish green discharge and spreading erythema"
2683,"commonest sites affected are the cheeks, nose, ears and back  of hands . As the vesicles resolve, haemorrhagic crusting develops and as this detaches, varioliform scarring  remains and can be severe"
2684,"commonest sites,  the area of the frenulum, corona and glans in men, and the posterior fourchette in women, correspond to the likely sites of greatest  coital friction"
2685,"Commonly affected  sites include the lips, genitals, palms and soles; 5% of cases may  have an exclusive mucosal involvement"
2686,"Commonly, one or more lesions appear at the anus or on the buttocks and spread as sloughing coalescing ulcers"
2687,Communication with the cranial cavity is present in up to  20% of cases.
2688,community-acquired pneumonia
2689,compartment syndrome
2690,Compensatory head posture(Head is turned towards the direction of action of the paralysed muscle)
2691,Compensatory rebound congestion of the mucosa
2692,Complete  destruction of the nail plate
2693,complete abortion
2694,complete atrioventricular block without cardiomyopathy
2695,complete blindness
2696,Complete Edentulus
2697,complete heart block
2698,Complete Impacted Tooth
2699,COMPLETE MISCARRIAGE
2700,complex 11 deficiency
2701,Complex II deficiency
2702,Complex Regional Pain Syndrome
2703,complicated cataract
2704,Composite haemangioendothelioma
2705,Compound anisometropia
2706,Compound astigmatic anisometropia
2707,Compression of a bile duct or leakage of cyst fluid  into the biliary tree
2708,comprising fever
2709,Compromised left ventricular function
2710,computed tomography
2711,Concentration difficulties
2712,concentric rings of erythema
2713,CONCOMITANT STRABISMUS
2714,CONCRETIONS
2715,Condition resembling SLE
2716,conduct disorder
2717,Conduction disorders
2718,conduction disturbances
2719,CONDUCTIVE HEARING LOSS
2720,conductive hearing loss and serous otitis media
2721,CONDYLAR FRACTURES OF THE FEMUR
2722,condyloma acuminatum
2723,Condylomata acuminata
2724,Condylomata lata
2725,Confluent and reticulated papillomatosis
2726,confused
2727,Confusion
2728,Confusional state
2729,CONGENITAL  MALFORMATION
2730,Congenital  melanocytic naevi
2731,Congenital Adrenal Hyperplasia
2732,Congenital adrenal hyperplasia (CAH)
2733,Congenital adrenal hyperplasia (CAH)(Adrenal Glane
2734,Congenital adrenal hyperplasia(late onset)
2735,Congenital anemia of the newborn
2736,Congenital anemia of the newborn
2737,congenital atrichia of the scalp (absence of hair)
2738,Congenital Bile Acid Synthesis Defect
2739,Congenital candidiasis
2740,Congenital central nervous system mass
2741,congenital cholesteatoma
2742,congenital corrected transposition of great arteries
2743,CONGENITAL DACROCYSTOCOELE
2744,Congenital dacryocystitis
2745,CONGENITAL DISLOCATION OF THE HIP
2746,Congenital disorder of glycosylation / 1-deficient
2747,Congenital disorder of glycosylation / 1-deficient glyco4 syndromes
2748,Congenital disorder of glycosylation / carbohydrate-deficient glycoprotein syndromes  
2749,Congenital disorders
2750,CONGENITAL DISORDERS OF PINNA
2751,CONGENITAL DIVERTICULA
2752,Congenital epidermal naevi
2753,Congenital erosive and vesicular  dermatosis heali
2754,congenital erythroderma
2755,Congenital erythropoietic porphyria
2756,congenital erythropoietic porphyria
2757,congenital footplate fixation
2758,congenital generalized lipodystrophy
2759,Congenital glaucoma
2760,congenital granuloma
2761,Congenital Haemodisplasia with Ichthyosis form Nav
2762,Congenital Haemodisplasia with Ichthyosis form Navous and Limb Defect
2763,Congenital heart disease
2764,Congenital Hereditary Endothelial Dystrophy 1
2765,Congenital Hereditary Endothelial Dystrophy 2
2766,Congenital Hyperthyroidism
2767,congenital Hypoplastic Anemia
2768,Congenital HYPOTHYROIDISM
2769,Congenital Intestinal Mucosal Defect
2770,Congenital lactase deficiency
2771,Congenital lactic acidosis
2772,Congenital lipoid adrenal hyperplasia
2773,Congenital long QT syndrome (LQTS)
2774,congenital malformation (a birth defect)
2775,"Congenital melanocytic naevi: Superficial type, Pr"
2776,congenital methemoglobinemia
2777,congenital midline cord cleft
2778,Congenital Muscular Dystrophy
2779,congenital naevi
2780,congenital or acquired long QT syndromes
2781,Congenital pigment cell naevi
2782,congenital QT prolongation
2783,Congenital rubella
2784,Congenital Stromal Corneal Dystrophy
2785,Congenital syphilis
2786,Congenital Syphilis
2787,Congenital systemic glutamine deficiency (CSGD) Gl
2788,"Congenital systemic glutamine deficiency (CSGD), Glutamine synthetase deficiency"
2789,Congenital Talipes Equino Varus (CTEV)
2790,Congenital toxoplasmosis
2791,CONGENITAL VENOUS ANOMALIES
2792,congested posterior pharyngeal wall
2793,Congestion (Fluid Buildup)
2794,congestion along the handle of malleus and the pars tensa
2795,congestion at neck head & upper limbs
2796,congestion of pars tensa
2797,"Congestion of superior limbic, bulbar and tarsal conjunctiva"
2798,congestive heart failure (CHF)
2799,CONJOINED TWINS
2800,conjunctiva
2801,conjunctiva becomes lustureless
2802,Conjunctival  oedema
2803,Conjunctival and retinal vascular tortuosity is common and results from the systemic vascular involvement.
2804,conjunctival blanching
2805,Conjunctival bleeding
2806,Conjunctival burn
2807,conjunctival chemosis
2808,Conjunctival Concretions
2809,Conjunctival congestion
2810,conjunctival damage
2811,CONJUNCTIVAL DERMOIDS
2812,CONJUNCTIVAL DISORDERS
2813,Conjunctival follicles
2814,conjunctival hyperaemia
2815,conjunctival infection
2816,Conjunctival irritation
2817,CONJUNCTIVAL LIPODERMOID
2818,Conjunctival naevi
2819,CONJUNCTIVAL NECROSIS
2820,conjunctival pigmentation
2821,conjunctival redness
2822,Conjunctival scarring
2823,conjunctival thickening
2824,Conjunctival vascular congestion
2825,conjunctival wrinkling
2826,conjunctival xerosis
2827,conjunctivitis
2828,"conjunctivitis, rhinitis, oro-pharyngeal swelling, bronchoconstriction  and rarely anaphylaxis"
2829,connective tissue disease
2830,Conns syndrome
2831,Consequent dehydration
2832,consistency is generally firm
2833,"Conspicuous, discrete,  shallow, circular lesions with a punched-out appearance coalesce  in places to produce irregular erosions"
2834,constant desire to clear the throat
2835,Constant exotropia
2836,constant unilateral exotropia
2837,constantly fidgeting
2838,constipation
2839,constipation that does not usually respond to treatment
2840,constricted visual field
2841,Constricting bands of the extremities
2842,Constriction of coronary arteries
2843,constriction of visual field
2844,constrictive pericarditis
2845,contact allergic dermatitis
2846,Contact dermatitis
2847,contact dermatitis
2848,Contact dermatitis has been reported
2849,CONTACT DERMATOCONJUNCTIVITIS
2850,contact granuloma
2851,Contact irritation
2852,contact sensitisation
2853,contact sensitivity
2854,Contact ulcers
2855,conteneous fever
2856,continous machinary murmer at second left ICS
2857,continous murmer of PDA
2858,continuous machinery murmur
2859,contractures of tissue
2860,Contrast sensitivity is impaired
2861,Contusion
2862,Convergence and retraction nystagmus
2863,CONVERGENT SQUINT
2864,CONVEX SHAPED IRIIS SHAPED DIAPHRAGM
2865,Convex shaped iris lens diaphragm
2866,convulsion
2867,Convulsions
2868,Convulsions occasionally occur
2869,convulsive disorders
2870,cool peripheral extremities
2871,coonective tissue disorders
2872,COPIOUS PURULENT DISCHARGE FROM CONJUNCTIVA
2873,Copper deficiency
2874,COPPER TOXICITY
2875,Copper wiring (reddish-brown reflex of the arterioles)
2876,COR  PULMONALE
2877,"Coral bead- like lesions may occur around the nail folds, which may result in  nail dystrophy. Skin lesions are of variable size and rarely ulcerate."
2878,CORD ACCIDENT
2879,cord compression
2880,CORD PROLAPSE
2881,Core temperature is usually more than 41Â°C
2882,core temprature <36.5`C
2883,corkscrew hairs
2884,cornea becomes dull and insensitive
2885,Cornea becomes sclera like
2886,Cornea is large
2887,"Cornea is oedematous, cloudy and ring infiltration"
2888,cornea is thinned and conjunctivalised
2889,Cornea may be slightly smaller than the normal
2890,Cornea may show oedema and striae.
2891,corneal abrasions
2892,corneal clouding
2893,corneal clouding (rarely)
2894,corneal damage
2895,Corneal deposits
2896,corneal dystrophy
2897,CORNEAL EDEMA
2898,Corneal enlargement
2899,Corneal Epithelial defect
2900,corneal epithelial defect associated with greyish-white circumscribed infiltrate.
2901,corneal erosions
2902,Corneal filaments
2903,corneal haziness and yellow infiltrates
2904,corneal infiltrates
2905,corneal irregularity
2906,corneal lesions
2907,"Corneal lesions include necrotic, blotchy, cheesy white infiltrates"
2908,corneal necrosis
2909,Corneal neovascularization
2910,Corneal oedema
2911,corneal opacification
2912,CORNEAL OPACITIES
2913,CORNEAL OPACITY
2914,Corneal perforation
2915,Corneal Peripheral vascularization
2916,Corneal Plaque formation
2917,corneal precipitates
2918,corneal scar
2919,Corneal scarring
2920,Corneal scars
2921,Corneal Sensations are decreased
2922,corneal staining
2923,corneal thickness
2924,Corneal thinning and reduction in corneal sensation
2925,CORNEAL ULCER
2926,Corneal ulcer covering less than 1/3 of the cornea
2927,Corneal ulcer formation
2928,"Corneal ulcer is dry-looking, greyish white, with elevated rolled out margins"
2929,corneal ulceration
2930,corneal ulcers
2931,corneal vascularisation
2932,corneal vascularization
2933,corneal xerosis
2934,"Corns can occur within an area of callus. On the dorsum of the foot, corns and calluses are particularly found over the interphalangeal joints and tip of toes"
2935,Corona phlebectatica paraplantaris
2936,coronary  artery ischaemia
2937,coronary arterial aneurysms
2938,coronary arteriovenous fistula
2939,Coronary artery bypass surgery
2940,coronary artery disease
2941,coronary artery disorders
2942,coronary artery spasm
2943,coronary artery vasospasm
2944,Coronary atherosclerosis
2945,coronary heart disease
2946,coronary insufficiency
2947,coronary ischemia
2948,Coronary syndrome
2949,Coronary thrombosis
2950,coronary vasospasm
2951,corpus luteal melanoma
2952,corpuscular volume increased
2953,CORRIGANS SIGN
2954,corrosion of mucous membranes
2955,corrosion of the gastrointestinal tract
2956,corrosion of the larynx
2957,corrosion of the oral mucosa
2958,Corrosive burn
2959,Corrosive effect can lead to pulmonary oedema
2960,corrosive effects on the gastrointestinal tract
2961,CORROSIVE INJURY TO OESOPHAGUS
2962,corrosive poisoning
2963,Cortical blindness
2964,Cortical hyperexcitability
2965,cortical lesion
2966,CORTICAL NECROSIS
2967,cortical proliferation of the long bones
2968,corticosteroids
2969,Cortisol dysfunction
2970,Cortisone reductase deficiency (CRD)
2971,Cortisone reductase deficiency (CRD)()
2972,Coryneform bacteria
2973,coryza
2974,coryza-like symptoms
2975,Cosmetic deformity
2976,Cosmetic disfigurement
2977,cottage cheese appearance..exudative RD
2978,Cotton wool spots
2979,Cotton wool spots are fluffy white lesions and represent the areas of infarcts in the nerve fibre layer.
2980,Cotton-wool spots
2981,Cough
2982,Cough suppression
2983,cough syncope
2984,"Cough while swallowing food, drink or saliva"
2985,cough with sputum
2986,"coughing while swallowing food, drink or saliva"
2987,Coumarin Resistance/Warfarin Resistance
2988,Coumarin Resistance/Warfarin Resistance()
2989,COUNTING BEHAVIOURS
2990,COVID-19
2991,Cowden syndrome
2992,COWPOX
2993,Coxa vara
2994,coxiella infection
2995,coxsackie virus infection
2996,CPA lipoma
2997,cracked nipple
2998,cracked pot sound or MacEwen sign
2999,cracking at angle of mouth
3000,crackles
3001,crackles and rhonchi
3002,Cradlle Cap
3003,cramping
3004,cramping pain on walking
3005,cramps
3006,cramps or pain after  exercising
3007,cranial bruit
3008,cranial diabetes insipidus
3009,cranial irradiation
3010,cranial nerve palsies
3011,craniofacies
3012,Craniopharyngioma
3013,craniopharyngioma (who grade 1)
3014,Craniosynostosis
3015,CRANIOTABES
3016,CRAO (Central retinal artery occlusion)
3017,craving for alcohol
3018,craving for cocaine
3019,craving for nicotine
3020,crazy-paving pattern on legs
3021,creamy-yellow plaque-like lesions involve the skin of upper and lower lids near the inner canthus
3022,Creatine deficiency syndrome (Arginine:glycine ami
3023,Creatine deficiency syndrome (Arginine:glycine amidinotransferase deficiency (AGAT deficiency)
3024,creatinine
3025,creepy crawly feeling
3026,Crepitation from gas in the tissues is classical but inconstant
3027,crepitations
3028,crepitations in chest
3029,crepitus
3030,crepts and wheezing in chest
3031,crepts present in chest
3032,crescentic grey line or whitish arc concentric with the upper and lower margins of the cornea
